======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = True
CUTOUT_SIZE = 8
USE_SILU = False
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      8  |      1.0439  |     0.9199  |   0.9143  |               |              3.2813  |
|          |      9  |      1.0127  |     0.9287  |   0.9286  |               |              3.6076  |
|          |   eval  |      1.0127  |     0.9287  |   0.9286  |       0.9326  |              3.7608  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.5273  |     0.6465  |   0.5543  |               |              0.3916  |
|          |      1  |      1.3320  |     0.7676  |   0.6922  |               |              0.7755  |
|          |      2  |      1.2627  |     0.7969  |   0.8066  |               |              1.1597  |
|          |      3  |      1.2764  |     0.7744  |   0.7554  |               |              1.5147  |
|          |      4  |      1.1699  |     0.8584  |   0.8450  |               |              1.8688  |
|          |      5  |      1.1416  |     0.8701  |   0.8579  |               |              2.2221  |
|          |      6  |      1.0693  |     0.9092  |   0.8850  |               |              2.5743  |
|          |      7  |      1.0762  |     0.9023  |   0.8883  |               |              2.9282  |
|          |      8  |      1.0176  |     0.9395  |   0.9149  |               |              3.2817  |
|          |      9  |      1.0020  |     0.9482  |   0.9254  |               |              3.6072  |
|          |   eval  |      1.0020  |     0.9482  |   0.9254  |       0.9340  |              3.7604  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.5166  |     0.6572  |   0.6383  |               |              0.4822  |
|          |      1  |      1.3535  |     0.7510  |   0.7152  |               |              0.8655  |
|          |      2  |      1.2480  |     0.8154  |   0.7734  |               |              1.2506  |
|          |      3  |      1.2266  |     0.8105  |   0.8177  |               |              1.6043  |
|          |      4  |      1.2012  |     0.8457  |   0.8423  |               |              1.9572  |
|          |      5  |      1.1396  |     0.8799  |   0.8534  |               |              2.3131  |
|          |      6  |      1.0947  |     0.8955  |   0.8720  |               |              2.6686  |
|          |      7  |      1.0664  |     0.9150  |   0.8921  |               |              3.0240  |
|          |      8  |      1.0195  |     0.9326  |   0.9167  |               |              3.3782  |
|          |      9  |      0.9937  |     0.9463  |   0.9302  |               |              3.7044  |
|          |   eval  |      0.9937  |     0.9463  |   0.9302  |       0.9361  |              3.8575  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4766  |     0.6846  |   0.6071  |               |              0.4780  |
|          |      1  |      1.2969  |     0.7812  |   0.7706  |               |              0.8621  |
|          |      2  |      1.2500  |     0.8096  |   0.8135  |               |              1.2473  |
|          |      3  |      1.1846  |     0.8496  |   0.8217  |               |              1.6019  |
|          |      4  |      1.1816  |     0.8447  |   0.8425  |               |              1.9570  |
|          |      5  |      1.1729  |     0.8584  |   0.7620  |               |              2.3114  |
|          |      6  |      1.0771  |     0.9053  |   0.8466  |               |              2.6643  |
|          |      7  |      1.0859  |     0.8936  |   0.8961  |               |              3.0177  |
|          |      8  |      1.0205  |     0.9287  |   0.9204  |               |              3.3704  |
|          |      9  |      0.9810  |     0.9600  |   0.9313  |               |              3.6964  |
|          |   eval  |      0.9810  |     0.9600  |   0.9313  |       0.9358  |              3.8497  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4678  |     0.6885  |   0.6556  |               |              0.3918  |
|          |      1  |      1.3516  |     0.7393  |   0.6888  |               |              0.7764  |
|          |      2  |      1.2627  |     0.7979  |   0.6996  |               |              1.1610  |
|          |      3  |      1.2031  |     0.8232  |   0.8175  |               |              1.5158  |
|          |      4  |      1.1719  |     0.8467  |   0.8215  |               |              1.8686  |
|          |      5  |      1.1465  |     0.8672  |   0.8541  |               |              2.2224  |
|          |      6  |      1.0996  |     0.8838  |   0.8544  |               |              2.5771  |
|          |      7  |      1.0693  |     0.8994  |   0.8939  |               |              2.9296  |
|          |      8  |      1.0264  |     0.9316  |   0.9166  |               |              3.2823  |
|          |      9  |      0.9971  |     0.9424  |   0.9271  |               |              3.6086  |
|          |   eval  |      0.9971  |     0.9424  |   0.9271  |       0.9345  |              3.7617  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4678  |     0.6787  |   0.6604  |               |              0.3913  |
|          |      1  |      1.3682  |     0.7461  |   0.7288  |               |              0.7759  |
|          |      2  |      1.2959  |     0.7852  |   0.7719  |               |              1.1610  |
|          |      3  |      1.1904  |     0.8428  |   0.7692  |               |              1.5148  |
|          |      4  |      1.1748  |     0.8604  |   0.8505  |               |              1.8689  |
|          |      5  |      1.1514  |     0.8711  |   0.8592  |               |              2.2222  |
|          |      6  |      1.0801  |     0.9014  |   0.8838  |               |              2.5771  |
|          |      7  |      1.0791  |     0.9053  |   0.8892  |               |              2.9300  |
|          |      8  |      1.0303  |     0.9316  |   0.9175  |               |              3.2837  |
|          |      9  |      0.9810  |     0.9619  |   0.9302  |               |              3.6102  |
|          |   eval  |      0.9810  |     0.9619  |   0.9302  |       0.9354  |              3.7635  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4922  |     0.6787  |   0.6836  |               |              0.3917  |
|          |      1  |      1.3115  |     0.7773  |   0.7319  |               |              0.7759  |
|          |      2  |      1.2705  |     0.7949  |   0.7567  |               |              1.1617  |
|          |      3  |      1.2012  |     0.8350  |   0.7708  |               |              1.5169  |
|          |      4  |      1.1865  |     0.8496  |   0.8532  |               |              1.8717  |
|          |      5  |      1.1230  |     0.8867  |   0.8648  |               |              2.2245  |
|          |      6  |      1.0947  |     0.8867  |   0.8683  |               |              2.5793  |
|          |      7  |      1.0615  |     0.9082  |   0.8842  |               |              2.9332  |
|          |      8  |      1.0195  |     0.9385  |   0.9186  |               |              3.2871  |
|          |      9  |      0.9946  |     0.9570  |   0.9299  |               |              3.6122  |
|          |   eval  |      0.9946  |     0.9570  |   0.9299  |       0.9377  |              3.7657  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4727  |     0.6816  |   0.6386  |               |              0.3910  |
|          |      1  |      1.3086  |     0.7705  |   0.7661  |               |              0.7753  |
|          |      2  |      1.2471  |     0.8086  |   0.7467  |               |              1.1603  |
|          |      3  |      1.2402  |     0.8164  |   0.7827  |               |              1.5142  |
|          |      4  |      1.2031  |     0.8457  |   0.7833  |               |              1.8678  |
|          |      5  |      1.1426  |     0.8701  |   0.8368  |               |              2.2226  |
