======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = False
CUTOUT_SIZE = 8
USE_SILU = True
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      5  |      1.1055  |     0.8965  |   0.8109  |               |              2.1969  |
|          |      6  |      1.0537  |     0.9219  |   0.8844  |               |              2.5472  |
|          |      7  |      1.0283  |     0.9287  |   0.8988  |               |              2.8974  |
|          |      8  |      0.9922  |     0.9512  |   0.9203  |               |              3.2463  |
|          |      9  |      0.9502  |     0.9717  |   0.9322  |               |              3.5685  |
|          |   eval  |      0.9502  |     0.9717  |   0.9322  |       0.9405  |              3.7220  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4580  |     0.6934  |   0.6971  |               |              0.4769  |
|          |      1  |      1.3662  |     0.7510  |   0.7099  |               |              0.8570  |
|          |      2  |      1.2148  |     0.8281  |   0.8103  |               |              1.2367  |
|          |      3  |      1.1748  |     0.8613  |   0.7508  |               |              1.5862  |
|          |      4  |      1.1631  |     0.8516  |   0.8273  |               |              1.9354  |
|          |      5  |      1.1162  |     0.8867  |   0.8368  |               |              2.2863  |
|          |      6  |      1.0459  |     0.9209  |   0.8872  |               |              2.6347  |
|          |      7  |      1.0312  |     0.9287  |   0.8995  |               |              2.9851  |
|          |      8  |      0.9795  |     0.9600  |   0.9175  |               |              3.3340  |
|          |      9  |      0.9482  |     0.9727  |   0.9322  |               |              3.6556  |
|          |   eval  |      0.9482  |     0.9727  |   0.9322  |       0.9403  |              3.8089  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4287  |     0.7314  |   0.6927  |               |              0.3880  |
|          |      1  |      1.3105  |     0.7920  |   0.7171  |               |              0.7686  |
|          |      2  |      1.2207  |     0.8232  |   0.7722  |               |              1.1491  |
|          |      3  |      1.1934  |     0.8369  |   0.8509  |               |              1.4989  |
|          |      4  |      1.1475  |     0.8662  |   0.8410  |               |              1.8471  |
|          |      5  |      1.0977  |     0.8926  |   0.8596  |               |              2.1982  |
|          |      6  |      1.0586  |     0.9072  |   0.8876  |               |              2.5487  |
|          |      7  |      1.0352  |     0.9238  |   0.9002  |               |              2.8980  |
|          |      8  |      0.9829  |     0.9541  |   0.9194  |               |              3.2477  |
|          |      9  |      0.9443  |     0.9766  |   0.9344  |               |              3.5693  |
|          |   eval  |      0.9443  |     0.9766  |   0.9344  |       0.9403  |              3.7222  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4551  |     0.7031  |   0.6836  |               |              0.4751  |
|          |      1  |      1.2969  |     0.7842  |   0.6638  |               |              0.8559  |
|          |      2  |      1.2188  |     0.8281  |   0.7394  |               |              1.2355  |
|          |      3  |      1.1611  |     0.8623  |   0.8063  |               |              1.5855  |
|          |      4  |      1.1396  |     0.8516  |   0.8566  |               |              1.9342  |
|          |      5  |      1.1270  |     0.8662  |   0.8564  |               |              2.2841  |
|          |      6  |      1.0615  |     0.9053  |   0.8726  |               |              2.6339  |
|          |      7  |      1.0420  |     0.9170  |   0.9051  |               |              2.9824  |
|          |      8  |      0.9751  |     0.9580  |   0.9175  |               |              3.3331  |
|          |      9  |      0.9497  |     0.9756  |   0.9320  |               |              3.6554  |
|          |   eval  |      0.9497  |     0.9756  |   0.9320  |       0.9381  |              3.8081  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4541  |     0.7041  |   0.6180  |               |              0.4737  |
|          |      1  |      1.3389  |     0.7646  |   0.7211  |               |              0.8535  |
|          |      2  |      1.2148  |     0.8311  |   0.7944  |               |              1.2335  |
|          |      3  |      1.1729  |     0.8525  |   0.8026  |               |              1.5844  |
|          |      4  |      1.1436  |     0.8740  |   0.8108  |               |              1.9326  |
|          |      5  |      1.1143  |     0.8848  |   0.8488  |               |              2.2815  |
|          |      6  |      1.0693  |     0.9082  |   0.8807  |               |              2.6319  |
|          |      7  |      1.0430  |     0.9141  |   0.8899  |               |              2.9814  |
|          |      8  |      0.9761  |     0.9580  |   0.9200  |               |              3.3305  |
|          |      9  |      0.9600  |     0.9697  |   0.9304  |               |              3.6518  |
|          |   eval  |      0.9600  |     0.9697  |   0.9304  |       0.9394  |              3.8048  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4375  |     0.7158  |   0.6516  |               |              0.3881  |
|          |      1  |      1.2998  |     0.8008  |   0.7638  |               |              0.7688  |
|          |      2  |      1.2256  |     0.8330  |   0.7961  |               |              1.1482  |
|          |      3  |      1.1699  |     0.8535  |   0.8104  |               |              1.4981  |
|          |      4  |      1.1426  |     0.8535  |   0.8379  |               |              1.8475  |
|          |      5  |      1.1035  |     0.8936  |   0.8647  |               |              2.1966  |
|          |      6  |      1.0742  |     0.8965  |   0.8943  |               |              2.5453  |
|          |      7  |      1.0322  |     0.9229  |   0.8880  |               |              2.8956  |
|          |      8  |      0.9937  |     0.9561  |   0.9191  |               |              3.2448  |
|          |      9  |      0.9556  |     0.9697  |   0.9312  |               |              3.5703  |
|          |   eval  |      0.9556  |     0.9697  |   0.9312  |       0.9403  |              3.7231  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4473  |     0.6855  |   0.6705  |               |              0.4740  |
|          |      1  |      1.2891  |     0.8018  |   0.7135  |               |              0.8534  |
|          |      2  |      1.2129  |     0.8320  |   0.7354  |               |              1.2336  |
|          |      3  |      1.1523  |     0.8604  |   0.8159  |               |              1.5843  |
|          |      4  |      1.1611  |     0.8545  |   0.8128  |               |              1.9325  |
|          |      5  |      1.0996  |     0.8877  |   0.8627  |               |              2.2813  |
